Lemma 10.7 (lem:t3atomic) of d05eulershift.tex   [t=3]

Part A -- eq:t3atomic:  a_{2j} at s=-(2k+1) vs atomic sum
(k,j) |   a_{2j}(-(2k+1))   |   atomic sum   |  dif
------+---------------------+----------------+-----
(0,0) |                   1 |              1 | 0
(0,1) |                   0 |              0 | 0
(0,2) |                   0 |              0 | 0
(0,3) |                   0 |              0 | 0
(0,4) |                   0 |              0 | 0
(0,5) |                   0 |              0 | 0
(0,6) |                   0 |              0 | 0
(0,7) |                   0 |              0 | 0
(0,8) |                   0 |              0 | 0
(0,9) |                   0 |              0 | 0
(0,10) |                   0 |              0 | 0
(1,0) |                   1 |              1 | 0
(1,1) |                  -2 |             -2 | 0
(1,2) |                   8 |              8 | 0
(1,3) |                 -32 |            -32 | 0
(1,4) |                 128 |            128 | 0
(1,5) |                -512 |           -512 | 0
(1,6) |                2048 |           2048 | 0
(1,7) |               -8192 |          -8192 | 0
(1,8) |               32768 |          32768 | 0
(1,9) |             -131072 |        -131072 | 0
(1,10) |              524288 |         524288 | 0
(2,0) |                   1 |              1 | 0
(2,1) |                  -4 |             -4 | 0
(2,2) |                  40 |             40 | 0
(2,3) |                -544 |           -544 | 0
(2,4) |                8320 |           8320 | 0
(2,5) |             -131584 |        -131584 | 0
(2,6) |             2099200 |        2099200 | 0
(2,7) |           -33562624 |      -33562624 | 0
(2,8) |           536903680 |      536903680 | 0
(2,9) |         -8590065664 |    -8590065664 | 0
(2,10) |        137439477760 |   137439477760 | 0
(3,0) |                   1 |              1 | 0
(3,1) |                  -6 |             -6 | 0
(3,2) |                  96 |             96 | 0
(3,3) |               -2256 |          -2256 | 0
(3,4) |               64896 |          64896 | 0
(3,5) |            -2086656 |       -2086656 | 0
(3,6) |            71172096 |       71172096 | 0
(3,7) |         -2499219456 |    -2499219456 | 0
(3,8) |         88965021696 |    88965021696 | 0
(3,9) |      -3186633670656 | -3186633670656 | 0
(3,10) |     114461110173696 | 114461110173696 | 0
(4,0) |                   1 |              1 | 0
(4,1) |                  -8 |             -8 | 0
(4,2) |                 176 |            176 | 0
(4,3) |               -5888 |          -5888 | 0
(4,4) |              250496 |         250496 | 0
(4,5) |           -12397568 |      -12397568 | 0
(4,6) |           676591616 |      676591616 | 0
(4,7) |        -39316226048 |   -39316226048 | 0
(4,8) |       2376282177536 |  2376282177536 | 0
(4,9) |    -147100018147328 | -147100018147328 | 0
(4,10) |    9235949675872256 | 9235949675872256 | 0
(5,0) |                   1 |              1 | 0
(5,1) |                 -10 |            -10 | 0
(5,2) |                 280 |            280 | 0
(5,3) |              -12160 |         -12160 | 0
(5,4) |              686080 |         686080 | 0
(5,5) |           -46063360 |      -46063360 | 0
(5,6) |          3490554880 |     3490554880 | 0
(5,7) |       -288162242560 |  -288162242560 | 0
(5,8) |      25277763911680 | 25277763911680 | 0
(5,9) |   -2313910995189760 | -2313910995189760 | 0
(5,10) |  218152097885716480 | 218152097885716480 | 0

Part B -- eq:t3atomicdiv:  (s+2k+1)^(nund-k) | HH_n^{(1)}
  n |  k  | exponent nund-k | divides ?
----+-----+-----------------+----------
  2 |   0 |               1 | yes
  3 |   0 |               1 | yes
  4 |   0 |               2 | yes
  4 |   1 |               1 | yes
  5 |   0 |               2 | yes
  5 |   1 |               1 | yes

Resume: all dif = 0 / all divisibilities hold. Lemma checked.
