Lemma 11.2 (lem:cdh) of d06xcos.tex   [exact over QQ]
T*[y^k] = (2k+1)E_{2k} = [1, 3, 25, 427, 12465, 555731] ...

T*[rho_m rho_m']  vs  delta_{mm'} ((2m)!!)^4
(m,m') |             LHS             |             RHS             |  dif
-------+-----------------------------+-----------------------------+-----
(0,0)  |                           1 |                           1 | 0
(0,1)  |                           0 |                           0 | 0
(0,2)  |                           0 |                           0 | 0
(0,3)  |                           0 |                           0 | 0
(0,4)  |                           0 |                           0 | 0
(0,5)  |                           0 |                           0 | 0
(1,0)  |                           0 |                           0 | 0
(1,1)  |                          16 |                          16 | 0
(1,2)  |                           0 |                           0 | 0
(1,3)  |                           0 |                           0 | 0
(1,4)  |                           0 |                           0 | 0
(1,5)  |                           0 |                           0 | 0
(2,0)  |                           0 |                           0 | 0
(2,1)  |                           0 |                           0 | 0
(2,2)  |                        4096 |                        4096 | 0
(2,3)  |                           0 |                           0 | 0
(2,4)  |                           0 |                           0 | 0
(2,5)  |                           0 |                           0 | 0
(3,0)  |                           0 |                           0 | 0
(3,1)  |                           0 |                           0 | 0
(3,2)  |                           0 |                           0 | 0
(3,3)  |                     5308416 |                     5308416 | 0
(3,4)  |                           0 |                           0 | 0
(3,5)  |                           0 |                           0 | 0
(4,0)  |                           0 |                           0 | 0
(4,1)  |                           0 |                           0 | 0
(4,2)  |                           0 |                           0 | 0
(4,3)  |                           0 |                           0 | 0
(4,4)  |                 21743271936 |                 21743271936 | 0
(4,5)  |                           0 |                           0 | 0
(5,0)  |                           0 |                           0 | 0
(5,1)  |                           0 |                           0 | 0
(5,2)  |                           0 |                           0 | 0
(5,3)  |                           0 |                           0 | 0
(5,4)  |                           0 |                           0 | 0
(5,5)  |             217432719360000 |             217432719360000 | 0

Resume: all dif = 0 for 0 <= m,m' <= 5. Formula checked.
