Lemma 11.4 (lem:conn3) of d06xcos.tex   [exact over QQ]

(A) ktil_{i,m}:  expansion of Ph_i in rho-basis  vs  (i!/m!)^2 4^{i-m} C(1/2,i-m)
(i,m) |             LHS             |             RHS             |  dif
------+-----------------------------+-----------------------------+-----
(0,0) |                           1 |                         1.0 | 0.0
(0,1) |                           0 |                         0.0 | 0.0
(0,2) |                           0 |                         0.0 | 0.0
(0,3) |                           0 |                         0.0 | 0.0
(0,4) |                           0 |                         0.0 | 0.0
(0,5) |                           0 |                         0.0 | 0.0
(1,0) |                           2 |                         2.0 | 0.0
(1,1) |                           1 |                         1.0 | 0.0
(1,2) |                           0 |                         0.0 | 0.0
(1,3) |                           0 |                         0.0 | 0.0
(1,4) |                           0 |                         0.0 | 0.0
(1,5) |                           0 |                         0.0 | 0.0
(2,0) |                          -8 |                        -8.0 | 0.0
(2,1) |                           8 |                         8.0 | 0.0
(2,2) |                           1 |                         1.0 | 0.0
(2,3) |                           0 |                         0.0 | 0.0
(2,4) |                           0 |                         0.0 | 0.0
(2,5) |                           0 |                         0.0 | 0.0
(3,0) |                         144 |                       144.0 | 0.0
(3,1) |                         -72 |                       -72.0 | 0.0
(3,2) |                          18 |                        18.0 | 0.0
(3,3) |                           1 |                         1.0 | 0.0
(3,4) |                           0 |                         0.0 | 0.0
(3,5) |                           0 |                         0.0 | 0.0
(4,0) |                       -5760 |                     -5760.0 | 0.0
(4,1) |                        2304 |                      2304.0 | 0.0
(4,2) |                        -288 |                      -288.0 | 0.0
(4,3) |                          32 |                        32.0 | 0.0
(4,4) |                           1 |                         1.0 | 0.0
(4,5) |                           0 |                         0.0 | 0.0
(5,0) |                      403200 |                    403200.0 | 0.0
(5,1) |                     -144000 |                   -144000.0 | 0.0
(5,2) |                       14400 |                     14400.0 | 0.0
(5,3) |                        -800 |                      -800.0 | 0.0
(5,4) |                          50 |                        50.0 | 0.0
(5,5) |                           1 |                         1.0 | 0.0

(B) T*[Ph_i rho_m]  vs  (i!)^2 (m!)^2 2^{2i+2m} C(1/2,i-m)
(i,m) |             LHS             |             RHS             |  dif
------+-----------------------------+-----------------------------+-----
(0,0) |                           1 |                           1 | 0
(0,1) |                           0 |                           0 | 0
(0,2) |                           0 |                           0 | 0
(0,3) |                           0 |                           0 | 0
(0,4) |                           0 |                           0 | 0
(0,5) |                           0 |                           0 | 0
(1,0) |                           2 |                           2 | 0
(1,1) |                          16 |                          16 | 0
(1,2) |                           0 |                           0 | 0
(1,3) |                           0 |                           0 | 0
(1,4) |                           0 |                           0 | 0
(1,5) |                           0 |                           0 | 0
(2,0) |                          -8 |                          -8 | 0
(2,1) |                         128 |                         128 | 0
(2,2) |                        4096 |                        4096 | 0
(2,3) |                           0 |                           0 | 0
(2,4) |                           0 |                           0 | 0
(2,5) |                           0 |                           0 | 0
(3,0) |                         144 |                         144 | 0
(3,1) |                       -1152 |                       -1152 | 0
(3,2) |                       73728 |                       73728 | 0
(3,3) |                     5308416 |                     5308416 | 0
(3,4) |                           0 |                           0 | 0
(3,5) |                           0 |                           0 | 0
(4,0) |                       -5760 |                       -5760 | 0
(4,1) |                       36864 |                       36864 | 0
(4,2) |                    -1179648 |                    -1179648 | 0
(4,3) |                   169869312 |                   169869312 | 0
(4,4) |                 21743271936 |                 21743271936 | 0
(4,5) |                           0 |                           0 | 0
(5,0) |                      403200 |                      403200 | 0
(5,1) |                    -2304000 |                    -2304000 | 0
(5,2) |                    58982400 |                    58982400 | 0
(5,3) |                 -4246732800 |                 -4246732800 | 0
(5,4) |               1087163596800 |               1087163596800 | 0
(5,5) |             217432719360000 |             217432719360000 | 0

Resume: all dif = 0 for 0 <= i,m <= 5. Formula checked.
