Lemma 13.8 (lem:samekappa) of d07xcosshift.tex   [exact over QQ, s=0]
kappa^b_{i,m} (rho_i in Ph-basis)  vs  (i!/m!)^2 4^{i-m} C(1/2,i-m)

(i,m) |             LHS             |             RHS             |  dif
------+-----------------------------+-----------------------------+-----
(0,0) |                           1 |                           1 | 0
(0,1) |                           0 |                           0 | 0
(0,2) |                           0 |                           0 | 0
(0,3) |                           0 |                           0 | 0
(0,4) |                           0 |                           0 | 0
(0,5) |                           0 |                           0 | 0
(1,0) |                           2 |                           2 | 0
(1,1) |                           1 |                           1 | 0
(1,2) |                           0 |                           0 | 0
(1,3) |                           0 |                           0 | 0
(1,4) |                           0 |                           0 | 0
(1,5) |                           0 |                           0 | 0
(2,0) |                          -8 |                          -8 | 0
(2,1) |                           8 |                           8 | 0
(2,2) |                           1 |                           1 | 0
(2,3) |                           0 |                           0 | 0
(2,4) |                           0 |                           0 | 0
(2,5) |                           0 |                           0 | 0
(3,0) |                         144 |                         144 | 0
(3,1) |                         -72 |                         -72 | 0
(3,2) |                          18 |                          18 | 0
(3,3) |                           1 |                           1 | 0
(3,4) |                           0 |                           0 | 0
(3,5) |                           0 |                           0 | 0
(4,0) |                       -5760 |                       -5760 | 0
(4,1) |                        2304 |                        2304 | 0
(4,2) |                        -288 |                        -288 | 0
(4,3) |                          32 |                          32 | 0
(4,4) |                           1 |                           1 | 0
(4,5) |                           0 |                           0 | 0
(5,0) |                      403200 |                      403200 | 0
(5,1) |                     -144000 |                     -144000 | 0
(5,2) |                       14400 |                       14400 | 0
(5,3) |                        -800 |                        -800 | 0
(5,4) |                          50 |                          50 | 0
(5,5) |                           1 |                           1 | 0

Resume: all dif = 0 for 0 <= i,m <= 5. Formula checked.
