Lemma 15.2 (lem:rank1) of d10runkone.tex   [exact over QQ / QQ[s]]

(A) sigma_{2i+j} = (-1)^i sigma_j    for 0 <= i,j <= N
(i,j) |  LHS  |  RHS  | dif
------+-------+-------+----
(0,0) |     0 |     0 | 0
(0,1) |     1 |     1 | 0
(0,2) |     0 |     0 | 0
(0,3) |    -1 |    -1 | 0
(0,4) |     0 |     0 | 0
(0,5) |     1 |     1 | 0
(1,0) |     0 |     0 | 0
(1,1) |    -1 |    -1 | 0
(1,2) |     0 |     0 | 0
(1,3) |     1 |     1 | 0
(1,4) |     0 |     0 | 0
(1,5) |    -1 |    -1 | 0
(2,0) |     0 |     0 | 0
(2,1) |     1 |     1 | 0
(2,2) |     0 |     0 | 0
(2,3) |    -1 |    -1 | 0
(2,4) |     0 |     0 | 0
(2,5) |     1 |     1 | 0
(3,0) |     0 |     0 | 0
(3,1) |    -1 |    -1 | 0
(3,2) |     0 |     0 | 0
(3,3) |     1 |     1 | 0
(3,4) |     0 |     0 | 0
(3,5) |    -1 |    -1 | 0
(4,0) |     0 |     0 | 0
(4,1) |     1 |     1 | 0
(4,2) |     0 |     0 | 0
(4,3) |    -1 |    -1 | 0
(4,4) |     0 |     0 | 0
(4,5) |     1 |     1 | 0
(5,0) |     0 |     0 | 0
(5,1) |    -1 |    -1 | 0
(5,2) |     0 |     0 | 0
(5,3) |     1 |     1 | 0
(5,4) |     0 |     0 | 0
(5,5) |    -1 |    -1 | 0

(B) (sigma_{2i+j})_{i,j<n} = u w^T ;  (C) det(A+s uw^T) = det(A)(1+s w^T A^{-1} u)
  n | (B) equal | det(A)=HH^E | (C) dif (should be 0)
----+-----------+-------------+----------------------
  1 |      True |        True | 0
  2 |      True |        True | 0
  3 |      True |        True | 0
  4 |      True |        True | 0
  5 |      True |        True | 0

Resume: (A),(B),(C) all hold for indices up to 5. Formula checked.
