Lemma 15.3 (lem:cfshift) of d10runkone.tex   [exact over QQ]
S1[v^k] = E_{2k+2} = [1, 5, 61, 1385, 50521, 2702765] ...

S1[P^(1)_l P^(1)_l']  vs  delta_{ll'} ((2l+1)!)^2
(l,l') |             LHS             |             RHS             |  dif
-------+----------------------------+----------------------------+-----
(0,0)  |                          1 |                          1 | 0
(0,1)  |                          0 |                          0 | 0
(0,2)  |                          0 |                          0 | 0
(0,3)  |                          0 |                          0 | 0
(0,4)  |                          0 |                          0 | 0
(0,5)  |                          0 |                          0 | 0
(1,0)  |                          0 |                          0 | 0
(1,1)  |                         36 |                         36 | 0
(1,2)  |                          0 |                          0 | 0
(1,3)  |                          0 |                          0 | 0
(1,4)  |                          0 |                          0 | 0
(1,5)  |                          0 |                          0 | 0
(2,0)  |                          0 |                          0 | 0
(2,1)  |                          0 |                          0 | 0
(2,2)  |                      14400 |                      14400 | 0
(2,3)  |                          0 |                          0 | 0
(2,4)  |                          0 |                          0 | 0
(2,5)  |                          0 |                          0 | 0
(3,0)  |                          0 |                          0 | 0
(3,1)  |                          0 |                          0 | 0
(3,2)  |                          0 |                          0 | 0
(3,3)  |                   25401600 |                   25401600 | 0
(3,4)  |                          0 |                          0 | 0
(3,5)  |                          0 |                          0 | 0
(4,0)  |                          0 |                          0 | 0
(4,1)  |                          0 |                          0 | 0
(4,2)  |                          0 |                          0 | 0
(4,3)  |                          0 |                          0 | 0
(4,4)  |               131681894400 |               131681894400 | 0
(4,5)  |                          0 |                          0 | 0
(5,0)  |                          0 |                          0 | 0
(5,1)  |                          0 |                          0 | 0
(5,2)  |                          0 |                          0 | 0
(5,3)  |                          0 |                          0 | 0
(5,4)  |                          0 |                          0 | 0
(5,5)  |           1593350922240000 |           1593350922240000 | 0

Resume: all dif = 0 for 0 <= l,l' <= 5. Formula checked.
