Lemma 26.2 (lem:rhored) of d50chapoton.tex   [exact over QQ]
rho(x^i(1+x)^{2m})=(-2)^m sum C(m,l)(-2)^l A_{i+l};  odd power -> B

(i,m) | rho(x^i(1+x)^2m) | dif(even) | rho(x^i(1+x)^{2m+1}) | dif(odd)
------+------------------+-----------+----------------------+---------
(0,0) |                1 |         0 |                    1 | 0
(0,1) |                2 |         0 |                    6 | 0
(0,2) |               20 |         0 |                  100 | 0
(0,3) |              488 |         0 |                 3416 | 0
(0,4) |            22160 |         0 |               199440 | 0
(0,5) |          1616672 |         0 |             17783392 | 0
(1,0) |                1 |         0 |                    2 | 0
(1,1) |                6 |         0 |                   28 | 0
(1,2) |              132 |         0 |                  904 | 0
(1,3) |             5784 |         0 |                51568 | 0
(1,4) |           415248 |         0 |              4545568 | 0
(1,5) |         44052576 |         0 |            571066816 | 0
(2,0) |                2 |         0 |                    8 | 0
(2,1) |               36 |         0 |                  240 | 0
(2,2) |             1512 |         0 |                13344 | 0
(2,3) |           106704 |         0 |              1162176 | 0
(2,4) |         11220768 |         0 |            145039488 | 0
(2,5) |       1638536256 |         0 |          24489938688 | 0
(3,0) |               10 |         0 |                   64 | 0
(3,1) |              396 |         0 |                 3456 | 0
(3,2) |            27432 |         0 |               297216 | 0
(3,3) |          2858544 |         0 |             36840960 | 0
(3,4) |        415244448 |         0 |           6195004416 | 0
(3,5) |      79991015616 |         0 |        1354931656704 | 0
(4,0) |              104 |         0 |                  896 | 0
(4,1) |             7056 |         0 |                76032 | 0
(4,2) |           728352 |         0 |              9358848 | 0
(4,3) |        105240384 |         0 |           1567171584 | 0
(4,4) |      20205376128 |         0 |         341830416384 | 0
(4,5) |    4967305502976 |         0 |       94058840494080 | 0
(5,0) |             1816 |         0 |                19456 | 0
(5,1) |           185616 |         0 |              2377728 | 0
(5,2) |         26674272 |         0 |            396472320 | 0
(5,3) |       5103964224 |         0 |          86241189888 | 0
(5,4) |    1251929063808 |         0 |       23685625331712 | 0
(5,5) |  382591508910336 |         0 |     8009585159602176 | 0

Resume: all dif = 0 for 0 <= i,m <= 5. Formula checked.
