Lemma 5.3 (lem:mixed) of d03invo.tex   [c kept symbolic]
checking all pairs 0 <= p,q <= 5

(p,q) |            LHS            |            RHS            |  dif
------+--------------------------+--------------------------+-----
(0,0) |                        1 |                        1 | 0
(0,1) |                        0 |                        0 | 0
(0,2) |                        0 |                        0 | 0
(0,3) |                        0 |                        0 | 0
(0,4) |                        0 |                        0 | 0
(0,5) |                        0 |                        0 | 0
(1,0) |                        c |                        c | 0
(1,1) |                        1 |                        1 | 0
(1,2) |                        0 |                        0 | 0
(1,3) |                        0 |                        0 | 0
(1,4) |                        0 |                        0 | 0
(1,5) |                        0 |                        0 | 0
(2,0) |                      c^2 |                      c^2 | 0
(2,1) |                      2*c |                      2*c | 0
(2,2) |                        2 |                        2 | 0
(2,3) |                        0 |                        0 | 0
(2,4) |                        0 |                        0 | 0
(2,5) |                        0 |                        0 | 0
(3,0) |                      c^3 |                      c^3 | 0
(3,1) |                    3*c^2 |                    3*c^2 | 0
(3,2) |                      6*c |                      6*c | 0
(3,3) |                        6 |                        6 | 0
(3,4) |                        0 |                        0 | 0
(3,5) |                        0 |                        0 | 0
(4,0) |                      c^4 |                      c^4 | 0
(4,1) |                    4*c^3 |                    4*c^3 | 0
(4,2) |                   12*c^2 |                   12*c^2 | 0
(4,3) |                     24*c |                     24*c | 0
(4,4) |                       24 |                       24 | 0
(4,5) |                        0 |                        0 | 0
(5,0) |                      c^5 |                      c^5 | 0
(5,1) |                    5*c^4 |                    5*c^4 | 0
(5,2) |                   20*c^3 |                   20*c^3 | 0
(5,3) |                   60*c^2 |                   60*c^2 | 0
(5,4) |                    120*c |                    120*c | 0
(5,5) |                      120 |                      120 | 0

Resume: all dif = 0 for 0 <= p,q <= 5. Formula checked.
