Lemma 5.4 (lem:tri) of d03invo.tex   [c kept symbolic]
checking all pairs 0 <= i,j <= 5

(i,j) |            LHS            |            RHS            |  dif
------+--------------------------+--------------------------+-----
(0,0) |                        1 |                        1 | 0
(0,1) |                        0 |                        0 | 0
(0,2) |                        0 |                        0 | 0
(0,3) |                        0 |                        0 | 0
(0,4) |                        0 |                        0 | 0
(0,5) |                        0 |                        0 | 0
(1,0) |                        0 |                        0 | 0
(1,1) |                      2*c |                      2*c | 0
(1,2) |                        2 |                        2 | 0
(1,3) |                        0 |                        0 | 0
(1,4) |                        0 |                        0 | 0
(1,5) |                        0 |                        0 | 0
(2,0) |                        0 |                        0 | 0
(2,1) |                        0 |                        0 | 0
(2,2) |                    8*c^2 |                    8*c^2 | 0
(2,3) |                     24*c |                     24*c | 0
(2,4) |                       24 |                       24 | 0
(2,5) |                        0 |                        0 | 0
(3,0) |                        0 |                        0 | 0
(3,1) |                        0 |                        0 | 0
(3,2) |                        0 |                        0 | 0
(3,3) |                   48*c^3 |                   48*c^3 | 0
(3,4) |                  288*c^2 |                  288*c^2 | 0
(3,5) |                    720*c |                    720*c | 0
(4,0) |                        0 |                        0 | 0
(4,1) |                        0 |                        0 | 0
(4,2) |                        0 |                        0 | 0
(4,3) |                        0 |                        0 | 0
(4,4) |                  384*c^4 |                  384*c^4 | 0
(4,5) |                 3840*c^3 |                 3840*c^3 | 0
(5,0) |                        0 |                        0 | 0
(5,1) |                        0 |                        0 | 0
(5,2) |                        0 |                        0 | 0
(5,3) |                        0 |                        0 | 0
(5,4) |                        0 |                        0 | 0
(5,5) |                 3840*c^5 |                 3840*c^5 | 0

Resume: all dif = 0 for 0 <= i,j <= 5. Formula checked.
