Lemma 7.2 (lem:cf) of d04euler.tex   [exact over QQ]
secant numbers  mu^S_k = [1, 1, 5, 61, 1385] ...
tangent numbers mu^T_m = [1, 2, 16, 272, 7936] ...

Family S:  S[Ph_i Ph_l]  vs  delta_{il} ((2i)!)^2
(i,l) |          LHS          |          RHS          |  dif
------+-----------------------+-----------------------+-----
(0,0) |                     1 |                     1 | 0
(0,1) |                     0 |                     0 | 0
(0,2) |                     0 |                     0 | 0
(0,3) |                     0 |                     0 | 0
(0,4) |                     0 |                     0 | 0
(0,5) |                     0 |                     0 | 0
(1,0) |                     0 |                     0 | 0
(1,1) |                     4 |                     4 | 0
(1,2) |                     0 |                     0 | 0
(1,3) |                     0 |                     0 | 0
(1,4) |                     0 |                     0 | 0
(1,5) |                     0 |                     0 | 0
(2,0) |                     0 |                     0 | 0
(2,1) |                     0 |                     0 | 0
(2,2) |                   576 |                   576 | 0
(2,3) |                     0 |                     0 | 0
(2,4) |                     0 |                     0 | 0
(2,5) |                     0 |                     0 | 0
(3,0) |                     0 |                     0 | 0
(3,1) |                     0 |                     0 | 0
(3,2) |                     0 |                     0 | 0
(3,3) |                518400 |                518400 | 0
(3,4) |                     0 |                     0 | 0
(3,5) |                     0 |                     0 | 0
(4,0) |                     0 |                     0 | 0
(4,1) |                     0 |                     0 | 0
(4,2) |                     0 |                     0 | 0
(4,3) |                     0 |                     0 | 0
(4,4) |            1625702400 |            1625702400 | 0
(4,5) |                     0 |                     0 | 0
(5,0) |                     0 |                     0 | 0
(5,1) |                     0 |                     0 | 0
(5,2) |                     0 |                     0 | 0
(5,3) |                     0 |                     0 | 0
(5,4) |                     0 |                     0 | 0
(5,5) |        13168189440000 |        13168189440000 | 0

Family T:  T[r_m r_m']  vs  delta_{mm'} (2m)!(2m+1)!
(m,m')|                   LHS |                   RHS | dif
------+-----------------------+-----------------------+-----
(0,0) |                     1 |                     1 | 0
(0,1) |                     0 |                     0 | 0
(0,2) |                     0 |                     0 | 0
(0,3) |                     0 |                     0 | 0
(0,4) |                     0 |                     0 | 0
(0,5) |                     0 |                     0 | 0
(1,0) |                     0 |                     0 | 0
(1,1) |                    12 |                    12 | 0
(1,2) |                     0 |                     0 | 0
(1,3) |                     0 |                     0 | 0
(1,4) |                     0 |                     0 | 0
(1,5) |                     0 |                     0 | 0
(2,0) |                     0 |                     0 | 0
(2,1) |                     0 |                     0 | 0
(2,2) |                  2880 |                  2880 | 0
(2,3) |                     0 |                     0 | 0
(2,4) |                     0 |                     0 | 0
(2,5) |                     0 |                     0 | 0
(3,0) |                     0 |                     0 | 0
(3,1) |                     0 |                     0 | 0
(3,2) |                     0 |                     0 | 0
(3,3) |               3628800 |               3628800 | 0
(3,4) |                     0 |                     0 | 0
(3,5) |                     0 |                     0 | 0
(4,0) |                     0 |                     0 | 0
(4,1) |                     0 |                     0 | 0
(4,2) |                     0 |                     0 | 0
(4,3) |                     0 |                     0 | 0
(4,4) |           14631321600 |           14631321600 | 0
(4,5) |                     0 |                     0 | 0
(5,0) |                     0 |                     0 | 0
(5,1) |                     0 |                     0 | 0
(5,2) |                     0 |                     0 | 0
(5,3) |                     0 |                     0 | 0
(5,4) |                     0 |                     0 | 0
(5,5) |       144850083840000 |       144850083840000 | 0

Resume: all dif = 0 for 0 <= indices <= 5. Formula checked.
