Lemma 7.3 (lem:connGene) of d04euler.tex   [s, t kept symbolic]

(A) kappa_{i,m}:  expansion of P_i in Q-basis  vs  (2i)!/(2m)! C((t-s)/2, i-m)
(i,m) |                LHS                |  dif
------+-----------------------------------+-----
(0,0) |                                 1 | 0
(0,1) |                                 0 | 0
(0,2) |                                 0 | 0
(0,3) |                                 0 | 0
(0,4) |                                 0 | 0
(0,5) |                                 0 | 0
(1,0) |                            -s + t | 0
(1,1) |                                 1 | 0
(1,2) |                                 0 | 0
(1,3) |                                 0 | 0
(1,4) |                                 0 | 0
(1,5) |                                 0 | 0
(2,0) | 3*s^2 - 6*s*t + 3*t^2 + 6*s - 6*t | 0
(2,1) |                        -6*s + 6*t | 0
(2,2) |                                 1 | 0
(2,3) |                                 0 | 0
(2,4) |                                 0 | 0
(2,5) |                                 0 | 0
(3,0) | -15*s^3 + 45*s^2*t - 45*s*t^2 + 15*t^3 - 90*s^2 + 180*s*t - 90*t^2 - 120*s + 120*t | 0
(3,1) | 45*s^2 - 90*s*t + 45*t^2 + 90*s - 90*t | 0
(3,2) |                      -15*s + 15*t | 0
(3,3) |                                 1 | 0
(3,4) |                                 0 | 0
(3,5) |                                 0 | 0
(4,0) | 105*s^4 - 420*s^3*t + 630*s^2*t^2 - 420*s*t^3 + 105*t^4 + 1260*s^3 - 3780*s^2*t + 3780*s*t^2 - 1260*t^3 + 4620*s^2 - 9240*s*t + 4620*t^2 + 5040*s - 5040*t | 0
(4,1) | -420*s^3 + 1260*s^2*t - 1260*s*t^2 + 420*t^3 - 2520*s^2 + 5040*s*t - 2520*t^2 - 3360*s + 3360*t | 0
(4,2) | 210*s^2 - 420*s*t + 210*t^2 + 420*s - 420*t | 0
(4,3) |                      -28*s + 28*t | 0
(4,4) |                                 1 | 0
(4,5) |                                 0 | 0
(5,0) | -945*s^5 + 4725*s^4*t - 9450*s^3*t^2 + 9450*s^2*t^3 - 4725*s*t^4 + 945*t^5 - 18900*s^4 + 75600*s^3*t - 113400*s^2*t^2 + 75600*s*t^3 - 18900*t^4 - 132300*s^3 + 396900*s^2*t - 396900*s*t^2 + 132300*t^3 - 378000*s^2 + 756000*s*t - 378000*t^2 - 362880*s + 362880*t | 0
(5,1) | 4725*s^4 - 18900*s^3*t + 28350*s^2*t^2 - 18900*s*t^3 + 4725*t^4 + 56700*s^3 - 170100*s^2*t + 170100*s*t^2 - 56700*t^3 + 207900*s^2 - 415800*s*t + 207900*t^2 + 226800*s - 226800*t | 0
(5,2) | -3150*s^3 + 9450*s^2*t - 9450*s*t^2 + 3150*t^3 - 18900*s^2 + 37800*s*t - 18900*t^2 - 25200*s + 25200*t | 0
(5,3) | 630*s^2 - 1260*s*t + 630*t^2 + 1260*s - 1260*t | 0
(5,4) |                      -45*s + 45*t | 0
