Lemma 7.4 (lem:bindetSigma) of d04euler.tex   [a kept symbolic]

(N,q) |                     LHS                     |  dif
------+---------------------------------------------+-----
(1,1) |                                           a | 0
(1,2) |                             1/2*a^2 - 1/2*a | 0
(2,2) |                         1/12*a^4 - 1/12*a^2 | 0
(2,3) | 1/144*a^6 - 1/48*a^5 + 1/144*a^4 + 1/48*a^3 - 1/72*a^2 | 0
(3,3) | 1/8640*a^9 - 1/1440*a^7 + 1/960*a^5 - 1/2160*a^3 | 0
(3,4) | 1/1036800*a^12 - 1/172800*a^11 + 1/207360*a^10 + 1/34560*a^9 - 19/345600*a^8 - 1/57600*a^7 + 19/207360*a^6 - 1/34560*a^5 - 11/259200*a^4 + 1/43200*a^3 | 0
(4,4) | 1/870912000*a^16 - 1/43545600*a^14 + 71/435456000*a^12 - 23/43545600*a^10 + 713/870912000*a^8 - 13/21772800*a^6 + 1/6048000*a^4 | 0
(4,5) | 1/1463132160000*a^20 - 1/146313216000*a^19 + 1/97542144000*a^18 + 1/9754214400*a^17 - 89/243855360000*a^16 - 1/3483648000*a^15 + 403/146313216000*a^14 - 1/585252864*a^13 - 1331/162570240000*a^12 + 529/48771072000*a^11 + 893/97542144000*a^10 - 29/1393459200*a^9 - 59/91445760000*a^8 + 307/18289152000*a^7 - 31/6096384000*a^6 - 1/203212800*a^5 + 1/423360000*a^4 | 0
(5,5) | 1/22122558259200000*a^25 - 1/442451165184000*a^23 + 29/632073093120000*a^21 - 11/22122558259200*a^19 + 14051/4424511651840000*a^17 - 787/63207309312000*a^15 + 133877/4424511651840000*a^13 - 9959/221225582592000*a^11 + 313/7900913664000*a^9 - 29/1536288768000*a^7 + 1/266716800000*a^5 | 0
(5,6) | 1/668986161758208000000*a^30 - 1/44599077450547200000*a^29 + 1/19113890335948800000*a^28 + 1/1274259355729920000*a^27 - 47/10618827964416000000*a^26 - 13/2123765592883200000*a^25 + 821/8919815490109440000*a^24 - 17/198218122002432000*a^23 - 5587/6371296778649600000*a^22 + 11/5663374914355200*a^21 + 1703/424753118576640000*a^20 - 263/16990124743065600*a^19 - 232933/44599077450547200000*a^18 + 38671/594654366007296000*a^17 - 37279/1274259355729920000*a^16 - 13031/84950623715328000*a^15 + 158153/1061882796441600000*a^14 + 20731/106188279644160000*a^13 - 994001/3344930808791040000*a^12 - 11903/111497693626368000*a^11 + 913931/2986545364992000000*a^10 - 1853/99551512166400000*a^9 - 2663/16591918694400000*a^8 + 13/276531978240000*a^7 + 137/4032758016000000*a^6 - 1/67212633600000*a^5 | 0

Resume: all dif = 0 for N = 1..5 (q in {N,N+1}). Formula checked.
