Proposition 22.1 (prop:algshift) of d19algesq.tex   [exact, s indeterminate]

(n,r) | deg | dif = LHS-RHS | dif_split (both should be 0)
------+-----+---------------+-----------------------------
(1,0) |   0 |             0 | 0
(1,1) |   0 |             0 | 0
(1,2) |   1 |             0 | 0
(1,3) |   1 |             0 | 0
(1,4) |   2 |             0 | 0
(2,0) |   1 |             0 | 0
(2,1) |   1 |             0 | 0
(2,2) |   3 |             0 | 0
(2,3) |   3 |             0 | 0
(2,4) |   5 |             0 | 0
(3,0) |   3 |             0 | 0
(3,1) |   3 |             0 | 0
(3,2) |   6 |             0 | 0
(3,3) |   6 |             0 | 0
(3,4) |   9 |             0 | 0
(4,0) |   6 |             0 | 0
(4,1) |   6 |             0 | 0
(4,2) |  10 |             0 | 0
(4,3) |  10 |             0 | 0
(4,4) |  14 |             0 | 0
(5,0) |  10 |             0 | 0
(5,1) |  10 |             0 | 0
(5,2) |  15 |             0 | 0
(5,3) |  15 |             0 | 0
(5,4) |  20 |             0 | 0

Resume: all dif = 0 for n=1..5, r=0..4. Formula checked.
